dZ (in.),Camber (deg),Roll Center Height (in.)
1.0,-2.3761374313750006,3.551713930599641
1.0499999999999998,-2.4700973472797307,3.539133493913064
1.1000000000000005,-2.5645678339518065,3.5271191038456213
1.1500000000000004,-2.6595517553554058,3.515673632416458
1.2000000000000002,-2.7550520047780487,3.5047999902174087
1.25,-2.8510715050348105,3.494501126017396
1.2999999999999998,-2.947613208675923,3.484780026357141
1.3500000000000005,-3.044680098198027,3.4756397151336973
1.4000000000000004,-3.142275186257872,3.4670832531743714
1.4500000000000002,-3.240401515889863,3.459113737799559
1.5,-3.339062160726883,3.4517343023740588
1.5499999999999998,-3.4382602252240364,3.4449481158463686
1.6000000000000005,-3.5379988448861046,3.438758382275509
1.6500000000000004,-3.6382811864981273,3.433168340344898
1.7000000000000002,-3.739110448359357,3.4281812628627795
1.75,-3.8404898605207385,3.4238004562487254
1.8000000000000007,-3.9424226850254613,3.420029260005725
1.8500000000000005,-4.044912216153352,3.4168710461773735
1.9000000000000004,-4.147961780668429,3.4143292187896153
1.9500000000000002,-4.251574738069826,3.412407213276587
2.0,-4.355754480846721,3.411108495890013
2.0500000000000007,-4.460504434735918,3.410436563091629
2.1000000000000005,-4.565828058983829,3.410394940928172
2.1500000000000004,-4.671728846611571,3.4109871843883184
2.2,-4.7782103246835765,3.412216876741098
2.25,-4.8852760545801335,3.414087628855236
2.3000000000000007,-4.992929632273253,3.4166030784988854
2.3500000000000005,-5.101174688606521,3.4197668896191598
2.4000000000000004,-5.2100148895782015,3.423582751600988
2.45,-5.319453936628588,3.428054378504657
2.5,-5.429495566930775,3.433185508281545
2.5500000000000007,-5.54014355368534,3.4389799019674565
2.6000000000000005,-5.6514017064185955,3.445441342852954
2.6500000000000004,-5.763273871285305,3.4525736356301864
2.7,-5.875763931374581,3.4603806055155886
2.75,-5.98887580702023,3.4688660973478638
2.8000000000000007,-6.102613456114724,3.4780339746607085
2.8500000000000005,-6.216980874427274,3.487888118729644
2.9000000000000004,-6.331982095926122,3.498432427592423
2.95,-6.447621193104614,3.5096708150423583
3.0,-6.563902277311684,3.521607209594011
